"n","p","q","tau","B","shapes.1","shapes.2","shapes.3","shapes.4","shapes.5","scales.1","scales.2","scales.3","scales.4","scales.5","shapes.lower.1","shapes.lower.2","shapes.lower.3","shapes.lower.4","shapes.lower.5","shapes.upper.1","shapes.upper.2","shapes.upper.3","shapes.upper.4","shapes.upper.5","scales.lower.1","scales.lower.2","scales.lower.3","scales.lower.4","scales.lower.5","scales.upper.1","scales.upper.2","scales.upper.3","scales.upper.4","scales.upper.5","logliks"
50,0.215,0.825,377.709824077126,500,0.602878686282826,1.34436941388718,1.565221635064,1.28486985190954,2.66939336504438,4371.20797754962,570.626710411149,564.932590840277,704.681769937935,463.933465570203,0.381142441121136,1.05043447945382,0.926497295335291,0.899545498155277,1.05906983517153,3.12156705436219,1.80352779908994,4.91723841346585,2.52051455214362,6.51752235290965,893.023220103742,329.959004975751,363.656498524447,393.635158616269,341.53317278327,168732.378418135,1433.78599544265,2558.72509757128,3645.6778147207,1434.92026865881,-320.640675526178
50,0.215,0.825,377.709824077126,500,1.23828021697067,1.36328773115309,2.22461087093165,1.00980748472637,0.655128746214842,1059.81620818536,959.74411578583,565.347992399718,734.249229805986,42723.9595823015,0.317121458047005,0.620905799290036,1.1192803546003,0.639165554318297,0.354876089933168,2.84676341159786,4.90572167787539,4.23146809615082,2.71733424083859,2.49045549850112,492.213503112357,466.156701489874,397.907294826358,417.639498213979,1516.53952369494,2282012.47541582,12781.1704015514,1891.74933714989,3480.80759399013,213486.718438962,-295.61491286948
100,0.215,0.825,377.709824077126,500,1.32840070523027,1.02809097770648,0.977445711107468,1.31600970438589,1.01009643019708,1085.42307371909,4371.03005901421,569.960913137157,857.984392410213,995.860569236762,0.523054633851155,0.536400314205357,0.7122392823286,0.933250502164804,0.766925436519628,4.87652828659558,4.21935756138759,1.45216148890881,2.07893311587007,1.52719239312077,472.329859837177,821.28545621503,368.540756717775,504.153424960546,523.715589847665,44362.8814595143,43699.684772933,1110.3689726623,2306.42860060621,3138.74321645247,-607.397077705833
100,0.215,0.825,377.709824077126,500,1.42031885193777,0.822898480579318,2.75681409401651,1.2343452493651,1.09498158511849,870.523941819793,1155.79531738303,556.628466210517,644.606718781446,2624.27869018411,0.955653035251006,0.589630390924651,1.78658839952955,0.919160854711602,0.790094744572566,2.53079241186784,1.17937273979158,4.18537799052881,1.7272598375072,4.94069204934839,543.333509848189,653.738459008516,437.424092218584,452.869180826409,862.536402620585,3384.3705072291,5994.51183112934,1011.43856181135,1142.72919894361,13540.1932814438,-598.12181238505
200,0.215,0.825,377.709824077126,500,1.13056048833826,1.08793424452277,1.00749571622875,1.4359181420476,1.17958434903978,2121.53337201637,918.765857364855,953.146612901399,725.198572280171,1405.09184402478,0.631930919375754,0.850892518182717,0.799661613714537,1.0634096342877,0.754780582802849,2.1764500712903,1.46915300020122,1.34224516831975,2.11892904424015,2.12975511593763,815.847159579928,630.143340831836,630.440541826099,526.559571907412,698.890756679593,25602.3577347427,1800.73839642462,1766.7721277917,1408.82004975142,6417.19203838876,-1199.90811949761
200,0.215,0.825,377.709824077126,500,2.01308782780589,0.991405358024708,0.998149130687166,1.15309862902915,1.62785362800923,693.789847591399,1283.95757621301,976.535423487184,677.612861373368,626.365818958688,0.94198150798803,0.604303240257298,0.682647918979458,0.878450610273851,1.1325655658737,8.79327068859202,1.53600330750234,1.50799769970797,1.61600877598537,2.36656412359474,457.395458365078,650.936506961845,577.630443889259,482.161227546204,479.26672436534,2158.85530192668,4663.23998150168,2459.73109068206,1250.84015734427,970.772951107303,-1279.70358116219
250,0.215,0.825,377.709824077126,500,1.71983037488371,0.945438681087506,0.999530418388338,1.01292456594719,1.50447246096835,679.211008277467,1509.94929636826,778.166959452335,1145.48256803073,649.658571250831,1.2225055673543,0.619575079677237,0.783775095428432,0.758550200871994,1.18947631056864,2.76371735210947,1.31409515223987,1.3174596830299,1.63222312604425,2.06634817048561,512.135579545955,850.931607237567,552.317217528053,633.133328607093,498.088888688185,1184.84941715737,5764.37751452048,1455.43858743935,2388.56763202245,959.676480551714,-1571.86816375882
250,0.215,0.825,377.709824077126,500,1.1316131330928,1.68683378058313,1.30995944191767,0.935565002711023,1.07707408184075,842.271985410834,598.141290536196,981.041011735137,1407.48144493188,711.83249348448,0.680529197168795,1.17910053079554,0.618733196506947,0.686716736609979,0.802558902448715,1.50724840395969,2.21269599974409,2.03779353339731,1.24767110630424,1.42602771168584,594.819497656422,473.1636445897,567.089411891854,849.695972676469,509.991724647586,2682.05076715032,908.996755396072,5861.88951129952,4432.07848206563,1293.90960833029,-1583.93834958836
500,0.215,0.825,377.709824077126,500,1.51782081139766,1.50297411513464,1.25505704967788,1.10645410601778,1.21191943752122,650.574634109589,753.669457668137,757.645117644353,808.964697120823,940.441431749894,1.27842397066545,1.1795248258998,0.982482308143029,0.939662715690588,0.974856720921447,1.84641944855197,1.85339540316481,1.62360841711845,1.34445100706629,1.57161931677136,518.945515804095,597.31410729444,563.793439035093,603.36898230774,688.942189575188,862.850513427312,1176.66088779765,1192.64480485551,1197.77395456095,1549.99632022654,-3181.67567242735
500,0.215,0.825,377.709824077126,500,0.942583807880338,0.919734094744678,1.18238244686242,1.21907891634257,1.16616376449204,1202.15867675016,1560.58651714383,982.902430988752,855.451022149914,980.831403401874,0.746219094156823,0.720829173699707,0.933266364076855,0.911146786816801,0.970538510444094,1.17924325064809,1.20370659761772,1.49380860712229,1.5588594640878,1.48709308227079,823.620652164917,997.480810188096,722.668857284104,660.738912510533,721.854521752824,2386.32918567546,3397.48811345911,1794.67087290928,1517.09095551242,1486.6848415325,-3031.25594116333
