"n","p","q","tau","B","shape3","shapes.1","shapes.2","shapes.3","shapes.4","shapes.5","scales.1","scales.2","scales.3","scales.4","scales.5","shapes.lower.1","shapes.lower.2","shapes.lower.3","shapes.lower.4","shapes.lower.5","shapes.upper.1","shapes.upper.2","shapes.upper.3","shapes.upper.4","shapes.upper.5","scales.lower.1","scales.lower.2","scales.lower.3","scales.lower.4","scales.lower.5","scales.upper.1","scales.upper.2","scales.upper.3","scales.upper.4","scales.upper.5","logliks"
100,0.215,0.825,365.468140360889,750,2.5,1.15155087609005,1.58427009246831,1.90496441672182,1.2523342539888,1.49452441856956,1079.74115055747,717.751490298407,677.121914474283,953.099987121315,602.509655413841,0.771723775257941,1.0644476430023,1.06263466566935,0.76915344673666,1.08858064068259,1.75195891284472,2.29851285668083,5.78776875497718,2.73032397350247,2.12211413818471,584.363157858412,474.994830252189,446.925008400526,499.730505820745,438.70307170094,4208.13930785412,1607.05459828963,2181.38084583314,3854.80024414388,1159.70369096835,-610.451273546933
100,0.215,0.825,365.468140360889,750,2.5,1.86632627326523,1.13200726929834,2.50622375246404,1.44890192170647,1.57942217696694,675.485797413887,1326.49323711518,442.105547824231,584.942143218788,1023.2722983224,1.13427024012846,0.611427131739005,1.8281869764339,1.00310247623895,0.93073499230542,3.05713715768422,2.09948642220964,4.33730099431916,1.85779306617516,6.6720289524776,461.790064410749,610.811969791933,368.09024351071,409.224400183905,450.837945587894,2116.61117372894,14708.842930931,597.229103633074,1054.66044989852,4633.54874575921,-623.990051167497
100,0.215,0.825,365.468140360889,750,2.5,1.28798823558752,0.936065456341643,2.5943044718583,1.13220240200641,1.11527006600307,1071.62362872925,968.531593686369,463.51883767164,905.982552705213,1181.03099197145,0.765183968363754,0.698798913831928,1.77195802894876,0.881468929013102,0.851127441639229,3.04567384907633,1.23795882505021,5.07487444946288,1.46960683456158,1.47194771281647,561.558566966786,552.983894180836,370.647301419093,539.904085125687,628.597427907951,8759.13425381674,2502.14701130934,693.374029788666,2136.78906433525,3704.71265216801,-602.860496638703
100,0.215,0.825,365.468140360889,750,2.5,1.76576407503623,1.19616777208255,3.21473400618571,1.52018759310806,0.987143727515755,520.259408932726,1111.62483082189,544.009093560359,555.331539291079,1032.77981837279,1.03015347471099,0.468711596752579,1.45366207640194,0.773586972775343,0.676103683759035,2.9292228286845,1.96747415413047,12.7255726534762,2.79754433188308,1.36289847994963,395.14158149251,537.079084925929,397.522230594389,399.031650367001,559.899791177431,1162.39623555287,13931.7376990258,1506.54674750966,2019.61704320531,3395.53436790843,-620.646672386631
100,0.215,0.825,365.468140360889,750,2.5,1.23028394341436,1.13214421922439,2.44824666086518,1.56740294528013,0.4857003891647,980.937545505717,656.297724059302,459.134241159105,652.991012545111,28758.9522036683,0.630751798113986,0.719416881764194,1.60429667225744,0.96913213057048,0.296274705145671,2.64239031319882,1.68369126493327,3.35257251220965,3.61969610020629,0.829638028555894,526.415574547511,446.548564332189,372.323241454564,427.132301765095,3324.41055293334,6035.78544534759,2268.79483910743,690.952819799712,1513.71686806876,25449220.9354828,-626.137573306865
100,0.215,0.825,365.468140360889,750,2.5,1.23924547478,1.18909020167457,2.26405307520932,2.03527241999606,1.89172615753344,1008.04012276694,1194.59838801785,498.768509221856,579.883691348997,638.966789316851,0.719724233325484,0.834390258337295,1.49684917547473,1.42377308318477,1.29003722717689,2.15353861242465,2.22071320911697,3.77619496658631,3.42600390187856,4.84449106039572,533.52062823848,576.065995580803,393.254720505716,440.357059311571,439.94618890885,3941.92907693766,4045.90356682811,815.888126352732,999.300145818933,1303.74455932864,-612.612309643702
100,0.215,0.825,365.468140360889,750,2.5,1.5035624834538,1.10008333574736,1.71515753417213,1.01328679916857,1.27313677917408,680.145712595653,786.684174999295,898.280664089174,922.560999018383,890.084620868995,0.97239441039241,0.685898067651437,0.770038142482373,0.597462228692922,0.830381737763322,2.30546753040797,1.66388868849671,7.64628968882102,1.74758290914036,1.96167120359536,459.946693959707,488.92673363794,444.213789921418,512.92478941623,514.764401322126,1724.86038769909,2206.17891949611,5895.40507289019,3658.84412469741,2364.55997583407,-618.169330353989
100,0.215,0.825,365.468140360889,750,2.5,1.62279299641657,1.39377489826109,3.41482592631823,0.945490804090599,1.2442093469081,754.362587281923,596.118318127434,430.972255171232,1656.69663829475,767.514789053312,0.955457175666448,0.776666348630182,2.26044677102171,0.525965604372124,0.933956386023235,2.82061090312982,2.25463694163971,5.07631446322332,2.28235771543453,1.87582007451096,475.074218350328,413.177579156098,356.350457612288,584.746658702781,464.188457999545,2405.26256043838,1713.12761700956,585.403922416084,15202.8020567061,1693.76984276157,-645.794642380386
100,0.215,0.825,365.468140360889,750,2.5,1.04173130970145,1.82874153187362,3.42960711244655,1.36607129199351,1.14281242788362,986.216333470226,686.671962275037,481.714673590557,631.282514937161,1499.93906553145,0.696871271654124,0.892804620552091,1.32692696079936,1.0399869843884,0.572298170155795,1.48092382153279,4.69039879993717,5.74629336527932,1.87946640812396,2.54849310203737,549.782947186014,449.062601187383,398.788310017114,436.367222586646,615.603129709069,2359.49792000341,2217.55291882665,802.399880031885,1060.16994111208,46331.1223591027,-612.257114951618
100,0.215,0.825,365.468140360889,750,2.5,1.35698406028585,0.982280056716183,1.78934575815637,1.71207264324281,0.981526704194281,866.30687622253,1039.7496541092,551.627431883174,853.659959288642,925.007742163524,0.956933240509186,0.699294206943305,1.1405444540633,0.955856072765826,0.606997617795206,2.9872470627384,1.4260566764156,2.90807656364929,31.1278038574018,1.46783267026944,519.534911770839,610.193390280571,418.277210512813,383.518867435515,506.726076655373,3149.64246505078,5323.433376794,1210.24050867381,4281.3458850183,3499.2505167995,-628.238659945482
100,0.215,0.825,397.851829121292,750,5,0.805692342484149,0.927472960958646,3.23818386280319,1.42170111042736,1.14076446759478,2197.48765745858,941.340949839536,685.264954062789,737.676356613568,793.628656066949,0.475929729427039,0.58837509390758,0.537359991871162,0.715129451847779,0.807535326416831,2.22549294297892,1.81183513185206,7.98035014198318,3.31838493988829,1.79097850609089,631.889161822413,510.697966629288,488.518243722333,456.106115732242,500.116283860646,18422.8448425284,3356.76225613985,13544.2177163705,2207.11243307997,1857.89329283034,-637.216349906839
100,0.215,0.825,397.851829121292,750,5,1.51290255616708,0.986087526214606,5.83393183884506,1.33163934640623,1.13489263407447,974.363200262256,884.054328921899,486.958974223622,1315.09388074723,1907.09410744972,0.911934086000733,0.735550319139356,3.94512186911492,0.668582109796172,0.730322647795634,2.95017389517061,1.43359079373312,19.6901704100775,5.50842424788493,2.11682200629161,592.106910912986,572.514337577746,427.099367676267,514.575600901122,807.080365991584,3543.61087189847,2022.25857934021,677.243299469455,25299.6272185175,10911.8821141934,-579.646943987228
100,0.215,0.825,397.851829121292,750,5,1.83526421442708,1.46927333730488,5.21615977191721,1.16740621283049,1.3727048408188,449.514101866057,580.4045651892,547.356755680781,815.411586538004,925.95378515308,1.20400819941738,1.02354193848404,1.22659151203645,0.808025143737936,0.855032748279237,2.73747866391737,2.10674225808989,11.3978001089335,1.84449440934576,2.52299845814383,362.325394272535,429.13779853064,428.205236366371,505.367084502328,520.430325070126,699.905596658745,1179.50969649135,1422.63576294333,2272.37479832698,4652.61652291896,-650.935542319458
100,0.215,0.825,397.851829121292,750,5,0.896899320586873,1.54326524646464,3.22330577859891,0.906344540671593,1.36969125717004,1415.42050701429,537.510441169936,571.73133735063,1284.15020601956,1021.13259271081,0.544438366062489,0.960459779522932,1.44399459627753,0.626220266838981,0.744721921330583,1.77016352358126,2.63471199813528,14.5955557917393,1.25195823593705,2.06364201746803,621.955228730501,409.561236759295,423.3288682714,623.563567994787,577.50705577351,10832.3124115667,931.354214309218,1297.11357023014,4471.87890137036,4161.450745414,-622.980362510148
100,0.215,0.825,397.851829121292,750,5,0.949829419885884,1.45470961646217,3.89564544532971,2.21034550256654,1.08186489901534,2812.92045004547,547.09723624042,478.805545635337,714.583138143904,911.262180720542,0.639132032593654,1.04706596945906,2.64502504985487,1.63009275395644,0.71172669262993,2.854071824403,2.31271124181675,6.36829785307482,3.20602624508281,2.33363339168646,595.264409375157,410.839364609114,407.50370041929,494.614975424073,509.600247113396,16805.6557499606,891.725358080452,638.191245363532,1385.56625507874,2794.72861201053,-641.511036502584
100,0.215,0.825,397.851829121292,750,5,0.721705601313668,2.01693058520322,8.01380908725839,1.59039923882845,0.904496680763614,1469.90239847567,609.769721838221,483.189858740319,676.701216206063,1455.15674476288,0.489831748823724,1.37039927380368,3.89042915796865,0.991422167770089,0.492652640746407,1.02683038167907,3.44349243106106,12.9179592633888,2.22026046182204,1.77265021656398,724.338931639593,446.489251882637,427.630068343041,467.899136144309,630.678054763219,6814.03278378165,1113.25423534145,772.190187198409,1371.53412771746,12710.511981395,-613.946021562331
