"n","p","q","prob3","mttf3","prob1","mttf1","mttf","tau","shapes1","shape.mles.1","shape.mles.2","shape.mles.3","shape.mles.4","shape.mles.5","scale.mles.1","scale.mles.2","scale.mles.3","scale.mles.4","scale.mles.5","shapes.lower.1","shapes.lower.2","shapes.lower.3","shapes.lower.4","shapes.lower.5","shapes.upper.1","shapes.upper.2","shapes.upper.3","shapes.upper.4","shapes.upper.5","scales.lower.1","scales.lower.2","scales.lower.3","scales.lower.4","scales.lower.5","scales.upper.1","scales.upper.2","scales.upper.3","scales.upper.4","scales.upper.5"
100,0.215,0.825,0.576599200591966,3048606046.08,924.869251041088,924.869251041088,120.568581589276,259.630810543096,0.1,1.02077044901867,1.27542999683074,0.121915924070808,0.86387032017178,1.75275422648951,1017.63954517794,1013.59897082237,327.60186594322,3473.45757015646,546.773457715452,0.588630781201921,0.726801992026789,0.0933209518547415,0.429877629403114,1.10088193259476,2.28861074766757,4.94447101837959,0.152331859250246,3.52220866396484,4.88915331821962,409.403787358998,400.83760023942,43.205490443729,459.058159523739,326.18637202882,6698.5522760835,5446.42037728956,5981.37197498417,19071.8613231563,2267.06862375772
100,0.215,0.825,0.576599200591966,3048606046.08,924.869251041088,924.869251041088,120.568581589276,259.630810543096,0.1,0.847355454161207,2.41510727633086,0.0950047541338769,1.85860058319937,1.39175735303413,1135.34309573075,586.230813306841,7395.4682930377,687.935993543056,749.329652563262,0.579187255976188,1.30373748439495,0.0647174499815016,0.903137441439924,0.856188715685697,1.1657305046383,7.24815580822184,0.124289773137743,3.87415315938901,6.22394674566117,482.145347176765,371.117524536821,398.14747465842,379.874498716471,368.890434106465,5389.32528844325,2106.9281982389,638563.965601095,3759.44639420081,4352.82670477113
100,0.215,0.825,0.576599200591966,3048606046.08,924.869251041088,924.869251041088,120.568581589276,259.630810543096,0.1,1.50643978843817,1.05708834139793,0.108768196349027,1.71719279519386,1.4256154953053,691.295019046795,1134.19445134618,209.213808361925,643.602095468186,605.344748149081,0.73584746950431,0.636487745162415,0.0910441004719382,0.962887807487793,0.699496159494262,6.33261265571964,2.40632689442344,0.133552590350167,15.2512149964847,2.40913978600303,336.365172808181,435.482687675778,23.2822772738033,292.073337822765,336.953478107152,4087.25881739664,7306.07164025706,3730.87774586499,3511.65706385321,3578.01079831619
100,0.215,0.825,0.576599200591966,3048606046.08,924.869251041088,924.869251041088,120.568581589276,259.630810543096,0.1,1.8448808380772,2.04632306402232,0.0848601848862666,1.34284291281566,1.19789433223206,502.558716599395,521.369168264311,4520.57808647078,719.870626537638,1453.24261928275,1.08110997289122,1.09999845145334,0.0697655024285347,0.963946026694937,0.686059062922607,4.57580473071656,5.51084005063083,0.105085498152563,2.0147435379243,5.1296017196698,317.309904016005,351.042510739445,168.411318222755,401.499079068579,555.379851286348,1535.00735693866,3435.44224452547,279637.306187883,3261.69817029646,13361.0643138176
100,0.215,0.825,0.576599200591966,3048606046.08,924.869251041088,924.869251041088,120.568581589276,259.630810543096,0.1,10.2484568142837,1.95555550577246,0.104523344207084,1.24712736909653,1.44437269283863,326.085512605671,380.472246033967,447.247558330791,837.547510340295,712.783456431063,5.53564193480057,1.3193283856844,0.0824679075218615,0.752336556063046,0.807223820436034,12.717052069309,3.81573161966633,0.131831810563712,2.49274068113275,8.75961853263096,276.606459355141,281.729969851961,40.8236022965528,418.449472133486,303.414379676292,836.833827001495,810.527964113781,8695.30657073409,5569.40893782037,8073.14693070889
100,0.215,0.825,0.475568944140618,7779.90037150086,924.869251041088,924.869251041088,152.601739708636,298.648435807868,0.3,1.55636640697153,1.4910238247418,0.270024326103786,0.878165679927894,1.77466782612354,419.038963291422,649.500563705786,817.582951859771,4189.8458102006,604.417036829014,1.12348452653489,0.770619857108454,0.215287322874803,0.566761985167702,1.03022106099476,2.31420068934081,3.97473098916542,0.343082328839798,3.6114603236133,4.58882865188257,302.951599283403,361.631984869253,255.810296979242,750.012412326809,367.771727538471,781.117347938069,4559.06466598602,3851.15088894288,32246.9798050825,2256.54567409147
100,0.215,0.825,0.475568944140618,7779.90037150086,924.869251041088,924.869251041088,152.601739708636,298.648435807868,0.3,1.71607954010936,1.79649123946922,0.359894546568237,1.80615626341459,1.08671179405626,563.328341578749,719.757513533867,780.694042229309,542.550864652021,1552.91121705943,1.16364743571657,1.03733055474021,0.268557062890597,1.15180562063563,0.764569836607818,6.16385162106614,7.13511271538156,0.4482679863117,4.05082854116333,3.09364885162606,366.922941788573,366.343058079401,342.102564941374,364.009813900272,541.997064886657,1642.57982480097,2987.62452172112,2961.83065268981,1287.97186597864,7211.33100597893
100,0.215,0.825,0.475568944140618,7779.90037150086,924.869251041088,924.869251041088,152.601739708636,298.648435807868,0.3,2.20365839093642,1.96012001812605,0.368586250661029,1.34856889631124,1.83802977003174,1015.61565530528,402.935176605261,516.84495784009,599.80844070512,673.860736024829,1.03005305419771,1.34644245183357,0.27825760559575,0.875991180473343,1.21132247866515,6.61895381326958,4.17916660046517,0.484113177633223,2.05728606375925,6.28307496587509,469.662911475265,308.664036690407,229.854332692483,384.143561407299,361.126969437342,2865.2035714402,682.475049080276,1936.45109233642,2239.66710619313,2814.51468437308
100,0.215,0.825,0.475568944140618,7779.90037150086,924.869251041088,924.869251041088,152.601739708636,298.648435807868,0.3,1.95053693477137,1.03595642057365,0.278569670464166,1.80947782897791,1.08975978881839,642.744313808679,1098.54006148428,912.901430162032,841.558817806096,714.498850006765,1.0578156948004,0.60740261942073,0.220875480784256,0.760220754076174,0.728537163616451,4.9753100738727,1.78209250684137,0.361492139382821,20.7763637177158,1.64121201300186,385.929995413899,511.527329960377,301.098641485713,323.920149724723,392.217375950863,2569.47265787057,9695.14953861313,4392.06396971383,6469.52283150154,2645.45198696578
100,0.215,0.825,0.475568944140618,7779.90037150086,924.869251041088,924.869251041088,152.601739708636,298.648435807868,0.3,0.989391861401074,1.26607190997576,0.300661085423193,0.960980093431493,1.4994975269529,1406.24505354955,1144.93483590513,594.980899637151,922.045862268789,831.447305781606,0.686828680196674,0.745679931642218,0.21313480425107,0.657998872153099,0.86085934706222,2.1432992907942,5.11313348669783,0.387613928977608,1.57839990758391,2.83581529133039,578.903416445081,402.910555802392,229.020969684978,465.109212717047,429.97706056471,6894.04872319549,5001.14940884569,2692.25695882212,5104.67319536289,3146.62613163956
