"n","p","q","tau","B","shape.1","shape.2","shape.3","shape.4","shape.5","scale.1","scale.2","scale.3","scale.4","scale.5","shape.mle.1","shape.mle.2","shape.mle.3","shape.mle.4","shape.mle.5","scale.mle.1","scale.mle.2","scale.mle.3","scale.mle.4","scale.mle.5","shape.lower.1","shape.lower.2","shape.lower.3","shape.lower.4","shape.lower.5","shape.upper.1","shape.upper.2","shape.upper.3","shape.upper.4","shape.upper.5","scale.lower.1","scale.lower.2","scale.lower.3","scale.lower.4","scale.lower.5","scale.upper.1","scale.upper.2","scale.upper.3","scale.upper.4","scale.upper.5","convergence","loglik"
1000,0.215,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.36836670993213,1.16463782274059,1.06939365218439,1.13570981517051,1.21963764504354,773.168659905815,892.314311333308,957.736993295748,915.943668638488,1064.99289121409,1.12541407231381,1.00073447556761,0.936108041740252,0.942732594791211,0.967249516540889,1.60863312619199,1.37712774847486,1.21759053721159,1.374612795043,1.56710805328793,642.598428410094,711.449537855974,772.864063510553,713.386397977553,777.669049415872,1043.63435323761,1222.82361657772,1291.56468318396,1278.32189218269,1750.15342029759,0,-6227.17260199232
1000,0.215,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,0.995111872579587,1.11524943579028,1.22756917073305,1.50242686583119,1.3093673741742,1675.80842822688,847.579973823193,700.743624460849,691.464773777591,763.994757481909,0.815273944852313,0.963367822432135,1.06390331555503,1.29105353505926,1.14155692069247,1.2221377206592,1.2804682238836,1.37779764013911,1.73887290967955,1.50881009501204,1132.64498214926,692.15819260977,593.640547615548,594.501422902219,639.170005737704,2985.6119109048,1150.40689653673,868.191229614676,867.798464183055,978.110049401682,0,-6274.32901549429
1000,0.215,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.36524381589407,1.34551616729317,1.12013095706736,1.06054780202255,1.11290291314062,772.860626837502,763.643690908308,801.969818207661,1177.68270912448,1051.1406117363,1.11745161955328,1.13921397997661,0.944540735186758,0.869721879901113,0.934180202723422,1.72616443216472,1.57254009139422,1.2952826747108,1.27144497581395,1.30568059662857,621.922351086842,635.524684972995,653.659926451929,868.783404018441,821.611882442919,1039.70632852262,993.535317959248,1069.92775662136,1874.91759206071,1555.09830853691,0,-6253.71611986395
1000,0.215,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.3512493137143,1.08284202298894,1.0775943515506,1.16220310730994,1.1800952426723,965.787100802113,926.56169838486,780.508423503023,945.557248593159,899.24316437665,1.07613549993148,0.915027575854171,0.928642902672925,1.00243727519328,1.01042755611523,1.73631922283782,1.2607673850729,1.22904590297025,1.38189084965056,1.38273209753882,718.664204949415,720.836205585481,655.83002837994,742.766756109709,720.266850379979,1464.80312228844,1346.2071638789,1046.06693090327,1289.68687547302,1230.09327003151,0,-6222.62855171482
1000,0.215,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.40578471977497,1.28310834346468,1.19461881490769,1.04043610821981,1.31869677592215,846.070180353063,735.688915989476,1004.46562274408,943.286988293465,892.205346544914,1.18780762060268,1.12143484816896,1.00642750642304,0.914329686855899,1.11397942653897,1.70595177151475,1.4493798716538,1.43788726409253,1.19331243852861,1.54008341840175,684.152253047451,623.142506845844,761.297506991544,770.813934172263,722.131613489891,1144.57442467753,941.879105085837,1405.41920821773,1229.08140838025,1184.17022981443,0,-6179.54076209992
1000,0.215,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.18991247758898,1.18713533702236,1.08564794361201,1.15814324866748,1.26373723630657,1131.19920788761,881.745908370642,870.161146521259,931.869054579094,754.818493099086,0.975644020214553,0.975166887569629,0.937851634661202,0.935844531357456,1.08847298612247,1.50686217763125,1.44936553733644,1.29498782350399,1.41838407398054,1.48451800775157,820.830965591606,688.754578767859,682.297454652544,732.356732933691,622.996465785149,1810.21698768729,1250.92361966399,1162.54085370253,1334.34206455188,962.39206494285,0,-6295.37315446456
1000,0.215,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.30211823187851,1.04159036675812,1.1608175520541,1.22370507994254,1.1290583115294,1052.49870825294,1123.86312338799,765.132295866142,802.536688737341,1027.17886945436,1.10998095159025,0.880044140829583,1.02202301051302,1.04937512195479,0.992345923675938,1.52798316175631,1.24429778053621,1.30859645368051,1.44093869816938,1.34654136203087,813.358926016307,853.407206714418,642.499542138029,644.646039418908,798.080340826029,1538.74943590072,1606.92546039166,948.401241908062,1019.40881762274,1391.34163299584,0,-6165.45110330067
1000,0.215,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.60099947394952,1.08565858452432,1.07594706771974,1.16204578118907,1.50149540259236,720.825822355622,928.89053248784,979.012746120391,899.862314317624,725.3123061247,1.29235526958963,0.865325606636315,0.83061398317884,1.01059521330638,1.29102361355936,2.0348198169466,1.28105406904505,1.32835213126006,1.34839947531494,1.78321197181349,595.74475863791,728.932596509136,751.728575722341,724.765614284335,604.111032163657,972.453843597268,1414.6029366958,1677.02817987211,1212.18172715709,918.942592592387,0,-6279.99200628367
1000,0.215,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.32236363694597,1.24633407487491,1.11668785123283,1.24800400778598,1.11427778089771,867.9386842486,849.644288720472,949.713208754046,855.512309447762,1110.07664541841,1.14641466400354,0.993325230541592,0.918429954417791,1.07868751561505,0.944910001380309,1.54020692705707,1.52835227675083,1.36570974405627,1.42301540170593,1.30926605590045,710.515878945611,677.974236590415,742.044923933835,727.44801671856,855.075282788617,1143.77394046418,1214.99769472209,1431.41174565206,1153.17852776907,1614.93873536687,0,-6149.52089251197
1000,0.215,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.37410097965025,1.22728764770718,1.07822881499092,1.30556816321509,1.26024202883065,963.405840228783,869.697988429746,823.438557333201,855.978949167128,755.922147182284,1.14802207608273,1.02016947394358,0.930787607869492,1.12038150809295,1.09676702895865,1.68101954029986,1.51757090767224,1.25720670711654,1.55205802246537,1.44949071025423,746.591988638001,672.72538635921,660.392845547668,693.87452139717,625.216728401307,1414.99844248555,1199.62104940509,1106.35835973619,1168.85377595379,981.772564002147,0,-6290.69034822757
