"n","p","q","tau","B","shapes.1","shapes.2","shapes.3","shapes.4","shapes.5","scales.1","scales.2","scales.3","scales.4","scales.5","shapes.lower.1","shapes.lower.2","shapes.lower.3","shapes.lower.4","shapes.lower.5","shapes.upper.1","shapes.upper.2","shapes.upper.3","shapes.upper.4","shapes.upper.5","scales.lower.1","scales.lower.2","scales.lower.3","scales.lower.4","scales.lower.5","scales.upper.1","scales.upper.2","scales.upper.3","scales.upper.4","scales.upper.5","logliks"
500,0.215,0.825,377.709824077126,500,1.19663777349523,0.969344863819266,1.03544939215204,1.06700027814257,1.40324562163396,882.775724999248,1022.31746702042,779.631846779127,1135.64255040429,817.172260293558,0.910834604845039,0.761588903694773,0.862683149666583,0.85987943908256,1.11038899784838,1.66747262768276,1.23192742716153,1.25053910292947,1.36510648794693,1.78123796573207,618.070421129107,700.795531721666,598.804317576564,788.263635144287,624.585115891353,1580.30058274847,1680.88967819341,1175.30675374704,2190.47574855365,1274.75282629515,-3140.63500328695
500,0.215,0.825,377.709824077126,500,1.30973093024955,1.15471380689288,1.15700528329446,1.46932534127503,1.27274582820584,928.726388494888,1206.47666432635,753.959617664514,750.603833993591,818.059552789889,0.962206668368984,0.872109729968096,0.967438316696543,1.1959989087158,0.962967412356028,1.72550376985793,1.65821497853933,1.33600103545401,1.83048865083105,1.65642213804335,667.741913843444,750.89987076565,575.799111199596,572.857759980801,611.80419128343,1676.74662308148,2368.3915009006,1044.30808172985,1006.48343767566,1374.18893204135,-3100.78055397021
500,0.215,0.825,377.709824077126,500,1.29141131145049,1.0472487154597,1.46757222625402,0.814198953972322,1.31981716705695,1033.09287198207,1216.03180106829,612.441210968186,2676.71636146505,700.829871039055,1.0566388911512,0.825160461336744,1.24589143701241,0.633100709130355,1.08665277695191,1.66807327306807,1.3267376595195,1.76664317716861,1.17098696692638,1.70632768997607,729.567091598949,844.71454264878,518.925829553548,1249.79797423988,568.425567049022,1726.67135607651,2319.58887978132,767.74574652667,7200.12879814148,945.08277738226,-3072.11005743577
500,0.215,0.825,377.709824077126,500,0.857164111950481,1.22834675794324,1.06269693575461,1.28570631638739,1.18943369788188,1849.79926874818,802.499945622124,1010.59041729098,975.471485592428,785.98006908159,0.615781172799926,1.05274300146789,0.834487273292109,1.03322903107723,0.991995535518828,1.1289984935614,1.45042451922597,1.35694592278078,1.75781455605235,1.48053118286438,1046.43170871637,629.269006821506,717.153770771258,703.685145151468,603.216321065675,4961.71118437077,1135.91209246402,1738.46771578906,1543.27791940806,1101.44225539704,-3087.18571536832
500,0.215,0.825,377.709824077126,500,1.12389558335576,1.35062656652489,1.14626020766658,1.13277759627071,1.16859368601984,1018.454793373,820.255774647209,740.979000203497,1053.78771114246,972.603148155002,0.904348555444046,0.972419279909036,0.953568046412284,0.840273304724762,0.924026734324767,1.3664460762051,1.95986262904188,1.34923845374462,1.42416774015312,1.50117168602161,741.46635847145,604.673483008401,589.80378521288,746.754180470059,724.512667351773,1784.25155775356,1290.49583116982,1012.96924740003,1947.55387983124,1606.79269945305,-3109.96000034696
500,0.215,0.825,377.709824077126,500,1.11561092652199,1.3618707294826,1.28819808124716,1.19167194983424,1.17689373332907,1241.50712596018,722.671120006814,627.086252302686,948.686006017509,810.489683341122,0.938926649366744,1.12644481770751,1.05484931996093,0.953708690328504,1.00066924693781,1.50349151121354,1.67895044920442,1.51924526511989,1.46607509972038,1.39250031390959,833.561380148927,572.013201183134,508.862179523013,696.177337629257,625.601127246165,2092.23147299405,1018.3926445497,837.024148953637,1640.79418561606,1175.18948163186,-3152.82351581946
500,0.215,0.825,377.709824077126,500,1.49104196250468,1.17891154693013,0.872189333765222,1.29372210685398,1.16800491804081,815.164082098348,849.882574747145,1251.39124857725,863.582061201984,1015.67220259785,1.16829418322459,0.968853381569084,0.727158440601001,1.06975177647762,0.963151754852604,1.87985801996854,1.50866128885504,1.05063874359284,1.61874228017123,1.40857183456163,629.838847779716,638.804850097338,852.568160676853,642.299044749834,756.00282638241,1171.49484203789,1282.67065260781,2071.56144161961,1264.27980460142,1549.19134616118,-3066.70907930946
500,0.215,0.825,377.709824077126,500,1.48389370343254,1.18349664903635,1.15543743962475,1.11714954102912,1.11515900909584,826.960279974327,821.818283597971,756.100024550713,906.066268329708,1108.97404042748,0.969568960799526,0.974938189665732,0.926034874906191,0.867825998365716,0.911028493878382,1.9128347957962,1.47565443987892,1.41428959788856,1.36859723724408,1.41168822052329,627.988965309767,638.846784139472,594.233701723411,674.727634718644,771.906434612362,1695.76642299998,1318.17453843057,1088.33663861693,1604.73651341762,1999.24421445325,-3149.47752789542
500,0.215,0.825,377.709824077126,500,1.7559716876662,0.956373871001884,1.24741759405254,1.06632929216749,1.33546721862359,826.026338287485,1156.46831967601,690.266867594755,1326.2030491736,869.429547837152,1.37896430314161,0.784133040404166,1.06022745551034,0.850326757457475,1.1241482784406,2.34769795685621,1.18555064779612,1.4897578765444,1.38753169830223,1.65212248086589,648.783683248992,810.772977119233,561.315745575855,884.936731391834,669.242137246058,1369.55427217992,1965.81827938054,925.218270804166,2498.07567634132,1248.74991835438,-3016.33699626794
500,0.215,0.825,377.709824077126,500,1.06549664034379,1.17286062608278,1.1547558455276,1.40151068535586,1.13004992370583,1448.90236027262,874.121582392303,773.900414621824,781.58532493497,886.417630963517,0.806317579754283,0.943476019702885,0.935757817081063,1.0473528277716,0.926035878005789,1.42544403798416,1.50560929571019,1.51493710438921,1.91097711229206,1.43216149691316,873.861357095834,624.318146908391,583.929917068486,583.149071151963,649.041419326459,3857.98366443282,1400.24854446974,1142.56341226311,1317.7263340495,1422.07311990263,-3109.77903503184
